0.00 1 0.0  0 0
68.30 1 133.0  10064190 0.0
68.40 1 133.0  10064190 0.0
68.50 1 133.0  10064190 0.0
68.60 1 133.0  10064190 0.0
68.70 1 133.0  10064190 0.0
68.80 1 133.0  10064190 0.0
68.90 1 133.0  10064190 0.0
69.00 1 133.0  10064190 0.0
69.10 1 133.0  10064190 0.0
69.20 1 133.0  10064190 0.0
69.30 1 133.0  10064190 0.0
69.40 1 133.0  10064190 0.0
69.50 1 133.0  10064190 0.0
69.60 1 133.0  10064190 0.0
69.70 1 133.0  10064190 0.0
69.80 1 133.0  10064190 0.0
69.90 1 133.0  10064190 0.0
70.00 1 133.0  10064190 0.0
70.10 1 133.0  10064190 0.0
70.20 1 133.0  10064190 0.0
70.30 1 133.0  10064190 0.0
70.40 1 133.0  10064190 0.0
70.50 1 133.0  10064190 0.0
70.60 1 133.0  10064190 0.0
70.70 1 133.0  10064190 0.0
70.80 1 133.0  10064190 0.0
70.90 1 133.0  10064190 0.0
71.00 1 133.0  10064190 0.0
71.10 1 133.0  10064190 0.0
71.20 1 133.0  10064190 0.0
71.30 1 133.0  10064190 0.0
71.40 1 133.0  10064190 0.0
71.50 1 133.0  10064190 0.0
71.60 1 133.0  10064190 0.0
71.70 1 133.0  10064190 0.0
71.80 1 133.0  10064190 0.0
71.90 1 133.0  10064190 0.0
72.00 1 133.0  10064190 0.0
72.10 1 133.0  10064190 0.0
72.20 1 133.0  10064190 0.0
72.30 1 133.0  10064190 0.0
72.40 1 133.0  10064190 0.0
72.50 1 133.0  10064190 0.0
72.60 1 133.0  10064190 0.0
72.70 1 133.0  10064190 0.0
72.80 1 133.0  10064190 0.0
72.90 1 133.0  10064190 0.0
73.00 1 133.0  10064190 0.0
73.10 1 133.0  10064190 0.0
73.20 1 133.0  10064190 0.0
73.30 1 133.0  10064190 0.0
73.40 1 133.0  10064190 0.0
73.50 1 133.0  10064190 0.0
73.60 1 133.0  10064190 0.0
73.70 1 133.0  10064190 0.0
73.80 1 133.0  10064190 0.0
73.90 1 133.0  10064190 0.0
74.00 1 133.0  10064190 0.0
74.10 1 133.0  10064190 0.0
74.20 1 133.0  10064190 0.0
74.30 1 133.0  10064190 0.0
74.40 1 133.0  10064190 0.0
74.50 1 133.0  10064190 0.0
74.60 1 133.0  10064190 0.0
74.70 1 133.0  10064190 0.0
74.80 1 133.0  10064190 0.0
74.90 1 133.0  10064190 0.0
75.00 1 133.0  10064190 0.0
75.10 1 133.0  10064190 0.0
75.20 1 133.0  10064190 0.0
75.30 1 133.0  10064190 0.0
75.40 1 133.0  10064190 0.0
75.50 1 133.0  10064190 0.0
75.60 1 133.0  10064190 0.0
75.70 1 133.0  10064190 0.0
75.80 1 133.0  10064190 0.0
75.90 1 133.0  10064190 0.0
76.00 1 133.0  10064190 0.0
76.10 1 133.0  10064190 0.0
76.20 1 133.0  10064190 0.0
76.30 1 133.0  10064190 0.0
76.40 1 133.0  10064190 0.0
76.50 1 133.0  10064190 0.0
76.60 1 133.0  10064190 0.0
76.70 1 133.0  10064190 0.0
76.80 1 133.0  10064190 0.0
76.90 1 133.0  10064190 0.0
77.00 1 133.0  10064190 0.0
77.10 1 133.0  10064190 0.0
77.20 1 133.0  10064190 0.0
77.30 1 133.0  10064190 0.0
77.40 1 133.0  10064190 0.0
77.50 1 133.0  10064190 0.0
77.60 1 133.0  10064190 0.0
77.70 1 133.0  10064190 0.0
77.80 1 133.0  10064190 0.0
77.90 1 133.0  10064190 0.0
78.00 1 133.0  10064190 0.0
78.10 1 133.0  10064190 0.0
78.20 1 133.0  10064190 0.0
78.30 1 133.0  10064190 0.0
78.40 1 133.0  10064190 0.0
78.50 1 133.0  10064190 0.0
78.60 1 133.0  10064190 0.0
78.70 1 133.0  10064190 0.0
78.80 1 133.0  10064190 0.0
78.90 1 133.0  10064190 0.0
79.00 1 133.0  10064190 0.0
79.10 1 133.0  10064190 0.0
79.20 1 133.0  10064190 0.0
79.30 1 133.0  10064190 0.0
79.40 1 133.0  10064190 0.0
79.50 1 133.0  10064190 0.0
79.60 1 133.0  10064190 0.0
79.70 1 133.0  10064190 0.0
79.80 1 133.0  10064190 0.0
79.90 1 133.0  10064190 0.0
80.00 1 133.0  10064190 0.0
80.10 1 133.0  10064190 0.0
80.20 1 133.0  10064190 0.0
80.30 1 133.0  10064190 0.0
80.40 1 133.0  10064190 0.0
80.50 1 133.0  10064190 0.0
80.60 1 133.0  10064190 0.0
80.70 1 133.0  10064190 0.0
80.80 1 133.0  10064190 0.0
80.90 1 133.0  10064190 0.0
81.00 1 133.0  10064190 0.0
81.10 1 133.0  10064190 0.0
81.20 1 133.0  10064190 0.0
81.30 1 133.0  10064190 0.0
81.40 1 133.0  10064190 0.0
81.50 1 133.0  10064190 0.0
81.60 1 133.0  10064190 0.0
81.70 1 133.0  10064190 0.0
81.80 1 133.0  10064190 0.0
81.90 1 133.0  10064190 0.0
82.00 1 133.0  10064190 0.0
82.10 1 133.0  10064190 0.0
82.20 1 133.0  10064190 0.0
82.30 1 133.0  10064190 0.0
82.40 1 133.0  10064190 0.0
82.50 1 133.0  10064190 0.0
82.60 1 133.0  10064190 0.0
82.70 1 133.0  10064190 0.0
82.80 1 133.0  10064190 0.0
82.90 1 133.0  10064190 0.0
83.00 1 133.0  10064190 0.0
83.10 1 133.0  10064190 0.0
83.20 1 133.0  10064190 0.0
83.30 1 133.0  10064190 0.0
83.40 1 133.0  10064190 0.0
83.50 1 133.0  10064190 0.0
83.60 1 133.0  10064190 0.0
83.70 1 133.0  10064190 0.0
83.80 1 133.0  10064190 0.0
83.90 1 133.0  10064190 0.0
84.00 1 133.0  10064190 0.0
84.10 1 133.0  10064190 0.0
84.20 1 133.0  10064190 0.0
84.30 1 133.0  10064190 0.0
84.40 1 133.0  10064190 0.0
84.50 1 133.0  10064190 0.0
84.60 1 133.0  10064190 0.0
84.70 1 133.0  10064190 0.0
84.80 1 133.0  10064190 0.0
84.90 1 133.0  10064190 0.0
85.00 1 133.0  10064190 0.0
85.10 1 133.0  10064190 0.0
85.20 1 133.0  10064190 0.0
85.30 1 133.0  10064190 0.0
85.40 1 133.0  10064190 0.0
85.50 1 133.0  10064190 0.0
85.60 1 133.0  10064190 0.0
85.70 1 133.0  10064190 0.0
85.80 1 133.0  10064190 0.0
85.90 1 133.0  10064190 0.0
86.00 1 133.0  10064190 0.0
86.10 1 133.0  10064190 0.0
86.20 1 133.0  10064190 0.0
86.30 1 133.0  10064190 0.0
86.40 1 133.0  10064190 0.0
86.50 1 133.0  10064190 0.0
86.60 1 133.0  10064190 0.0
86.70 1 133.0  10064190 0.0
86.80 1 133.0  10064190 0.0
86.90 1 133.0  10064190 0.0
87.00 1 133.0  10064190 0.0
87.10 1 133.0  10064190 0.0
87.20 1 133.0  10064190 0.0
87.30 1 133.0  10064190 0.0
87.40 1 133.0  10064190 0.0
87.50 1 133.0  10064190 0.0
87.60 1 133.0  10064190 0.0
87.70 1 133.0  10064190 0.0
87.80 1 133.0  10064190 0.0
87.90 1 133.0  10064190 0.0
88.00 1 133.0  10064190 0.0
88.10 1 133.0  10064190 0.0
88.20 1 133.0  10064190 0.0
88.30 1 133.0  10064190 0.0
88.40 1 133.0  10064190 0.0
88.50 1 133.0  10064190 0.0
88.60 1 133.0  10064190 0.0
88.70 1 133.0  10064190 0.0
88.80 1 133.0  10064190 0.0
88.90 1 133.0  10064190 0.0
89.00 1 133.0  10064190 0.0
89.10 1 133.0  10064190 0.0
89.20 1 133.0  10064190 0.0
89.30 1 133.0  10064190 0.0
89.40 1 133.0  10064190 0.0
89.50 1 133.0  10064190 0.0
89.60 1 133.0  10064190 0.0
89.70 1 133.0  10064190 0.0
89.80 1 133.0  10064190 0.0
89.90 1 133.0  10064190 0.0
90.00 1 133.0  10064190 0.0
90.10 1 133.0  10064190 0.0
90.20 1 133.0  10064190 0.0
90.30 1 133.0  10064190 0.0
90.40 1 133.0  10064190 0.0
90.50 1 133.0  10064190 0.0
90.60 1 133.0  10064190 0.0
90.70 1 133.0  10064190 0.0
90.80 1 133.0  10064190 0.0
90.90 1 133.0  10064190 0.0
91.00 1 133.0  10064190 0.0
91.10 1 133.0  10064190 0.0
91.20 1 133.0  10064190 0.0
91.30 1 133.0  10064190 0.0
91.40 1 133.0  10064190 0.0
91.50 1 133.0  10064190 0.0
91.60 1 133.0  10064190 0.0
91.70 1 133.0  10064190 0.0
91.80 1 133.0  10064190 0.0
91.90 1 133.0  10064190 0.0
92.00 1 133.0  10064190 0.0
92.10 1 133.0  10064190 0.0
92.20 1 133.0  10064190 0.0
92.30 1 133.0  10064190 0.0
92.40 1 133.0  10064190 0.0
92.50 1 133.0  10064190 0.0
92.60 1 133.0  10064190 0.0
92.70 1 133.0  10064190 0.0
92.80 1 133.0  10064190 0.0
92.90 1 133.0  10064190 0.0
93.00 1 133.0  10064190 0.0
93.10 1 133.0  10064190 0.0
93.20 1 133.0  10064190 0.0
93.30 1 133.0  10064190 0.0
93.40 1 133.0  10064190 0.0
93.50 1 133.0  10064190 0.0
93.60 1 133.0  10064190 0.0
93.70 1 133.0  10064190 0.0
93.80 1 133.0  10064190 0.0
93.90 1 133.0  10064190 0.0
94.00 1 133.0  10064190 0.0
94.10 1 133.0  10064190 0.0
94.20 1 133.0  10064190 0.0
94.30 1 133.0  10064190 0.0
94.40 1 133.0  10064190 0.0
94.50 1 133.0  10064190 0.0
94.60 1 133.0  10064190 0.0
94.70 1 133.0  10064190 0.0
94.80 1 133.0  10064190 0.0
94.90 1 133.0  10064190 0.0
95.00 1 133.0  10064190 0.0
95.10 1 133.0  10064190 0.0
95.20 1 133.0  10064190 0.0
95.30 1 133.0  10064190 0.0
95.40 1 133.0  10064190 0.0
95.50 1 133.0  10064190 0.0
95.60 1 133.0  10064190 0.0
95.70 1 133.0  10064190 0.0
95.80 1 133.0  10064190 0.0
95.90 1 133.0  10064190 0.0
96.00 1 133.0  10064190 0.0
96.10 1 133.0  10064190 0.0
96.20 1 133.0  10064190 0.0
96.30 1 133.0  10064190 0.0
96.40 1 133.0  10064190 0.0
96.50 1 133.0  10064190 0.0
96.60 1 133.0  10064190 0.0
96.70 1 133.0  10064190 0.0
96.80 1 133.0  10064190 0.0
96.90 1 133.0  10064190 0.0
97.00 1 133.0  10064190 0.0
97.10 1 133.0  10064190 0.0
97.20 1 133.0  10064190 0.0
97.30 1 133.0  10064190 0.0
97.40 1 133.0  10064190 0.0
97.50 1 133.0  10064190 0.0
97.60 1 133.0  10064190 0.0
97.70 1 133.0  10064190 0.0
97.80 1 133.0  10064190 0.0
97.90 1 133.0  10064190 0.0
98.00 1 133.0  10064190 0.0
98.10 1 133.0  10064190 0.0
98.20 1 133.0  10064190 0.0
98.30 1 133.0  10064190 0.0
98.40 1 133.0  10064190 0.0
98.50 1 133.0  10064190 0.0
98.60 1 133.0  10064190 0.0
98.70 1 133.0  10064190 0.0
98.80 1 133.0  10064190 0.0
98.90 1 133.0  10064190 0.0
99.00 1 133.0  10064190 0.0
99.10 1 133.0  10064190 0.0
99.20 1 133.0  10064190 0.0
99.30 1 133.0  10064190 0.0
99.40 1 133.0  10064190 0.0
99.50 1 133.0  10064190 0.0
99.60 1 133.0  10064190 0.0
99.70 1 133.0  10064190 0.0
99.80 1 133.0  10064190 0.0
99.90 1 133.0  10064190 0.0
100.00 1 133.0  10064190 0.0
